nohup: ignoring input
Experiment 4: adapt to gravity×1 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 5/6, device=cuda
[  28000 / 100000]  ep  28  reward(norm): -101.761  reward(raw): -101.8  len: 1000  time: 4.30s
[  29000 / 100000]  ep  29  reward(norm): -16.930  reward(raw): -16.9  len: 1000  time: 5.01s
[  30000 / 100000]  ep  30  reward(norm): -52.205  reward(raw): -52.2  len: 1000  time: 5.09s
[  31000 / 100000]  ep  31  reward(norm): 139.690  reward(raw): 139.7  len: 1000  time: 3.58s
[  32000 / 100000]  ep  32  reward(norm): -43.100  reward(raw): -43.1  len: 1000  time: 3.62s
[  33000 / 100000]  ep  33  reward(norm): -64.881  reward(raw): -64.9  len: 1000  time: 4.98s
[  34000 / 100000]  ep  34  reward(norm): -37.934  reward(raw): -37.9  len: 1000  time: 4.55s
[  35000 / 100000]  ep  35  reward(norm): -59.571  reward(raw): -59.6  len: 1000  time: 4.32s
[  36000 / 100000]  ep  36  reward(norm): 45.931  reward(raw): 45.9  len: 1000  time: 4.50s
[  37000 / 100000]  ep  37  reward(norm): 78.372  reward(raw): 78.4  len: 1000  time: 5.23s
[  38000 / 100000]  ep  38  reward(norm): 117.155  reward(raw): 117.2  len: 1000  time: 5.28s
[  39000 / 100000]  ep  39  reward(norm): 66.766  reward(raw): 66.8  len: 1000  time: 5.11s
[  40000 / 100000]  ep  40  reward(norm): 185.555  reward(raw): 185.6  len: 1000  time: 4.31s
[  41000 / 100000]  ep  41  reward(norm): 168.099  reward(raw): 168.1  len: 1000  time: 3.91s
[  42000 / 100000]  ep  42  reward(norm): 97.579  reward(raw): 97.6  len: 1000  time: 3.62s
[  43000 / 100000]  ep  43  reward(norm): -4.110  reward(raw): -4.1  len: 1000  time: 4.41s
[  44000 / 100000]  ep  44  reward(norm): -10.330  reward(raw): -10.3  len: 1000  time: 4.96s
[  45000 / 100000]  ep  45  reward(norm): 146.629  reward(raw): 146.6  len: 1000  time: 4.82s
[  46000 / 100000]  ep  46  reward(norm): -8.758  reward(raw): -8.8  len: 1000  time: 4.33s
[  47000 / 100000]  ep  47  reward(norm): 10.603  reward(raw): 10.6  len: 1000  time: 4.20s
[  48000 / 100000]  ep  48  reward(norm): 58.920  reward(raw): 58.9  len: 1000  time: 4.36s
[  49000 / 100000]  ep  49  reward(norm): -30.544  reward(raw): -30.5  len: 1000  time: 4.59s
[  50000 / 100000]  ep  50  reward(norm): -74.458  reward(raw): -74.5  len: 1000  time: 4.04s
[  51000 / 100000]  ep  51  reward(norm): -7.773  reward(raw): -7.8  len: 1000  time: 5.25s
[  52000 / 100000]  ep  52  reward(norm): 72.625  reward(raw): 72.6  len: 1000  time: 5.17s
[  53000 / 100000]  ep  53  reward(norm): 97.222  reward(raw): 97.2  len: 1000  time: 5.16s
[  54000 / 100000]  ep  54  reward(norm): -70.970  reward(raw): -71.0  len: 1000  time: 4.24s
[  55000 / 100000]  ep  55  reward(norm): -136.651  reward(raw): -136.7  len: 1000  time: 3.72s
